v4	I(R2)
1,029830914900031e+000	8,845913e-011
1,029907208800031e+000	8,845977e-011
1,029983502700031e+000	8,846027e-011
1,030059796600031e+000	8,846054e-011
1,030136090500031e+000	8,846061e-011
1,030212384400032e+000	8,846049e-011
1,030288678300032e+000	8,846020e-011
1,030364972200032e+000	8,845976e-011
1,030441266100032e+000	8,845921e-011
1,030517560000032e+000	8,846062e-011
1,030593853900032e+000	8,845969e-011
1,030670147800032e+000	8,845864e-011
1,030746441700032e+000	8,845957e-011
1,030822735600032e+000	8,846034e-011
1,030899029500032e+000	8,845875e-011
1,030975323400032e+000	8,845919e-011
1,031051617300032e+000	8,845945e-011
1,031127911200032e+000	8,845961e-011
1,031204205100033e+000	8,845962e-011
1,031280499000033e+000	8,845948e-011
1,031356792900033e+000	8,845925e-011
1,031433086800033e+000	8,845893e-011
1,031509380700033e+000	8,846058e-011
1,031585674600033e+000	8,845995e-011
1,031661968500033e+000	8,845919e-011
1,031738262400033e+000	8,846048e-011
1,031814556300033e+000	8,845948e-011
1,031890850200033e+000	8,846051e-011
1,031967144100033e+000	8,845925e-011
1,032043438000033e+000	8,846003e-011
1,032119731900034e+000	8,846059e-011
1,032196025800034e+000	8,845886e-011
1,032272319700034e+000	8,845921e-011
